,,,,,,,,,,,,,,,,,,,,,
,2021,"0,6635","0,8837","1,5096","0,9525","0,5542","1,2218","1,3556","1,7462","1,1590","0,7847","0,8548","0,7225","0,9204","1,1644","1,0465","1,3903","0,8395","1,1043","1,0861","1,2962"
,2022,"0,7001","0,9118","1,5078","0,9867","0,5724","1,2910","1,4418","1,8293","1,2022","0,8114","0,8844","0,7553","0,9417","1,2078","1,1109","1,4081","0,8387","1,1497","1,1277","1,3406"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE DEPENDENCIA                  ,,,,,,,,,,,,,,,,,,,,,
((Población<16 años+ Población >64 años)/ Población 16-64 años),,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,"42,0911","52,1634","52,6237","42,0054","46,4845","47,0617","58,4178","47,6094","46,0705","47,1578","46,4539","41,3863","55,1637","42,5301","45,8965","53,6355","51,2827","47,5561","50,0624","48,4850"
,2001,"41,3754","51,8979","52,6669","40,7297","46,4747","47,1938","57,3787","46,8776","45,7062","47,1356","45,2203","40,7881","53,7313","41,7203","45,3892","53,1688","49,8210","47,0410","49,3314","48,1307"
,2002,"41,4951","52,6504","52,3739","41,3694","45,8399","45,8864","59,5626","46,5676","44,9853","47,1371","44,5466","40,6385","54,6798","41,8419","44,8328","54,0673","47,4198","46,5668","48,9312","47,8330"
,2003,"42,2149","52,8709","51,3293","41,3841","46,1926","46,5139","59,5466","46,6566","44,9811","48,0833","47,6282","41,8148","55,2239","41,9376","44,9595","54,9568","49,1114","46,6590","48,6930","47,5908"
,2004,"42,6957","51,4420","51,1934","42,4586","45,2742","47,5000","57,4101","45,4651","44,6284","47,7641","47,3067","41,8783","52,2422","41,2034","44,6359","53,6013","48,8467","46,1496","48,1999","47,3036"
,2005,"42,1257","51,0232","50,6988","41,5391","44,4194","47,2727","54,9741","44,5890","44,4951","47,3480","46,8416","41,8451","47,7801","40,7846","44,3227","52,1099","47,5429","45,5843","47,4798","46,7490"
,2006,"42,0643","50,1782","49,7220","42,1731","43,7043","47,2210","52,4324","44,6792","44,9213","47,6161","45,6376","41,8498","48,2180","40,7232","44,5548","51,2832","47,9128","45,6179","47,4218","47,0719"
,2007,"42,0286","49,7971","48,2925","41,7169","43,6567","46,5724","50,3407","44,6247","44,7270","48,1768","45,3944","42,3890","47,5891","41,6466","44,4346","51,1815","47,6999","45,5994","47,1663","47,0364"
,2008,"42,7775","49,2337","48,6226","42,7223","43,7535","46,8815","52,3109","45,2272","44,7740","48,6201","45,1678","42,6898","45,6740","41,6061","44,5264","50,6447","47,0600","45,7229","46,9599","46,9483"
,2009,"44,0456","49,3563","48,5655","43,1901","43,5992","45,2745","53,3672","47,2580","45,6210","48,8481","45,3989","43,3667","45,2716","41,8466","45,2251","50,5733","48,3346","46,4245","47,3641","47,4773"
,2010,"44,6822","50,3939","48,3792","44,0172","44,2991","46,3756","51,6063","48,9088","46,3003","49,6913","45,9653","44,0032","44,7937","42,8233","46,2774","51,2573","47,9914","47,2446","47,7866","48,2469"
,2011,"45,7598","50,4962","49,2047","44,7622","44,9848","46,0652","52,4699","49,9433","47,3233","50,5680","45,8653","44,9635","44,0901","43,5571","47,2060","51,3510","48,1217","48,0761","48,2966","49,1007"
,2012,"46,1250","50,7829","50,1969","45,5635","46,3179","46,1538","53,9507","51,0330","48,1525","51,5315","45,8766","45,5316","43,1862","45,2697","48,0897","50,9746","49,3046","48,8273","48,7025","49,8151"
,2013,"46,6597","51,1595","52,1723","46,7815","47,1799","48,7169","54,2402","52,5665","49,0596","52,8735","47,3768","46,2789","44,3137","46,6037","49,1119","52,0629","52,3526","49,7158","49,3467","50,6560"
,2014,"47,5745","52,4655","51,9844","47,2449","48,2601","51,2976","56,6742","53,4273","49,9825","50,2782","48,9317","47,3473","44,6000","47,2905","49,7206","53,1580","52,9884","50,1234","49,9296","51,5847"
,2015,"48,3765","53,0596","52,3089","47,7198","49,2052","52,7256","56,6166","54,7251","50,7190","51,3933","49,4283","48,3985","44,8980","48,7230","50,5776","52,9225","53,1647","50,8572","50,4822","52,4169"
,2016,"48,3972","53,7562","52,8462","48,2343","49,4791","53,2265","54,7782","55,2888","50,7792","49,4379","50,0659","48,5383","44,2857","49,7305","50,6318","52,8043","53,0931","50,9803","50,6043","52,8659"
,2017,"49,1770","53,7218","52,8003","48,7460","49,8402","54,6271","54,6161","55,2321","51,0780","48,8137","50,1655","49,1524","43,1452","49,7114","50,8355","52,1007","53,8494","51,1966","50,8726","53,2389"
,2018,"49,7823","54,2391","52,7553","47,5948","50,4644","53,8158","55,3825","55,7093","51,6118","50,0344","50,0411","49,1683","44,1532","50,0791","51,2551","51,4029","54,0033","51,5427","51,1831","53,5830"
,2019,"49,7032","54,1173","52,1917","47,3994","50,1201","53,5310","54,6496","56,8290","51,6554","49,7783","49,9919","48,7499","44,0154","50,1936","51,3091","51,3580","53,7559","51,5877","51,3707","53,6557"
,2020,"49,6220","53,8527","51,7407","47,9522","50,0702","52,5431","53,7664","57,0310","51,5376","49,2224","49,8096","49,0100","43,9453","49,8364","51,2214","51,1121","52,8551","51,5164","51,3827","53,5056"
,2021,"49,0707","53,1037","51,0963","48,1066","49,3116","51,5102","53,2652","57,6742","51,6836","48,3006","48,8647","48,4806","42,7165","50,3070","50,5926","50,9451","51,5987","51,4197","51,2872","53,3950"
,2022,"48,5384","52,8623","49,6533","47,9863","48,6137","51,6706","53,5211","58,3719","51,5561","47,9568","49,0435","48,4311","45,0677","50,1844","51,0672","51,2090","52,2834","51,4249","51,2725","53,5135"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TASA BRUTA DE NATALIDAD                  ,,,,,,,,,,,,,,,,,,,,,
(Nacidos vivos por cada 1.000 habitantes)                ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,"13,3955","12,6315","8,8409","12,3889","12,6630","6,6600","7,6825","11,0197","10,6459","12,2877","12,5605","15,0680","8,1169","9,8593","10,9279","11,8315","8,5628","10,8285","10,9783","9,8181"
,2001,"14,7435","13,0947","8,3069","13,0524","10,3834","9,6154","7,6287","10,2461","10,6476","11,7342","12,2858","15,1090","12,9450","11,6938","11,1563","11,0657","11,3902","10,9465","10,9547","9,8835"
,2002,"12,5768","11,7050","8,2765","12,0458","13,2374","7,7207","8,9257","10,2872","10,8067","12,2569","11,5152","13,9008","1,5924","11,1818","11,0944","9,8102","11,9419","11,0255","10,9463","10,0112"
,2003,"14,0152","12,8744","9,8384","13,0292","12,4467","7,4779","8,8412","10,2218","11,5298","12,9721","12,6801","15,3533","6,4103","9,8916","11,7749","11,0684","13,2202","11,5369","11,3210","10,3444"
,2004,"14,4971","13,3513","7,0688","13,8087","15,4599","4,7969","8,4454","10,2108","11,6115","13,3529","12,0028","15,9767","7,3638","11,0211","12,0214","10,5157","12,7494","11,8669","11,5801","10,5235"
,2005,"14,2762","13,4502","8,3469","12,8924","15,1570","13,5802","7,3015","9,9658","11,7699","14,1807","12,0450","16,5646","8,5837","9,3008","12,0638","10,7585","14,0187","11,8549","11,6956","10,5733"
,2006,"13,2096","13,1467","6,9622","12,5452","16,7326","5,9453","10,9338","10,0941","11,8224","13,5084","13,9529","16,8554","11,3154","11,1957","12,1627","10,0727","12,0675","12,0688","11,9486","10,8022"
,2007,"14,4587","14,0522","7,2110","12,5247","16,5386","1,7539","11,0482","10,1802","11,8129","15,1350","12,9167","15,9881","7,1023","11,2315","12,2181","9,6941","13,9435","12,0749","11,9199","10,8964"
,2008,"15,4020","14,0004","5,0973","14,1887","17,9096","8,2645","10,4828","10,3575","11,9835","14,0125","11,4424","15,9645","4,1436","11,0024","12,5040","9,8988","13,8708","12,1637","12,2278","11,2609"
,2009,"12,4452","14,2373","6,2820","10,9933","16,8911","10,2273","8,0088","9,8906","11,1067","12,8749","13,2043","15,5434","12,4654","10,9858","11,5379","7,0175","13,1254","11,1696","11,3963","10,5449"
,2010,"12,9493","13,0517","6,3425","11,0128","15,7850","9,5667","8,6933","8,8600","10,9251","13,0300","11,0122","14,0023","9,4980","10,3649","11,2299","8,1639","13,1185","10,8396","11,0144","10,3480"
,2011,"12,9594","12,4333","7,1073","10,5192","16,2243","11,4286","9,5290","8,9934","10,7917","11,9856","11,9295","13,4609","9,1146","10,7948","11,0783","9,0377","12,5457","10,5042","10,6305","10,0020"
,2012,"10,4417","12,0877","6,1979","10,2175","14,8749","7,3250","12,9691","8,7949","10,2708","11,4339","11,3281","14,2178","13,4048","10,0637","10,5498","9,6276","12,2069","10,1176","10,2219","9,6191"
,2013,"10,7179","10,3097","8,6372","8,9273","14,0252","9,0386","10,0474","7,4551","9,6257","9,8014","10,5399","11,7627","12,2283","9,2090","9,6549","8,6194","10,3834","9,3799","9,6525","9,0328"
,2014,"10,2872","10,6154","5,6324","9,0082","14,5922","8,2905","7,1715","7,8965","9,9098","10,9648","9,9989","11,4084","4,1494","8,7301","9,8734","8,5850","11,7385","9,6617","9,7824","9,1422"
,2015,"10,6430","9,8200","6,2729","10,0153","13,6223","8,7771","7,8397","7,5073","9,6445","9,6121","11,4779","10,5715","9,8592","9,0826","9,6385","6,7677","10,5283","9,3838","9,6003","9,0144"
,2016,"10,6460","9,4592","5,2826","9,4133","12,2865","11,0369","9,1581","7,7046","9,2354","9,7211","9,0051","11,3401","7,0721","8,2908","9,3174","7,9592","11,2323","9,1935","9,4495","8,8189"
,2017,"9,2713","10,0728","7,1713","9,1056","10,4278","5,5200","8,5723","7,7940","9,1054","9,9286","9,2582","9,7036","15,4930","7,6217","9,0463","7,2733","10,9916","8,8445","8,9124","8,4424"
,2018,"7,7172","10,3221","4,7745","8,3400","10,0163","7,6989","7,0755","7,0826","8,3744","8,9793","8,8835","9,0252","6,9930","7,3687","8,3320","6,7948","10,7294","8,2139","8,4716","7,9785"
,2019,"7,9564","9,3503","11,0363","8,0437","9,2921","7,9500","7,1090","5,7279","8,0431","8,4721","9,9718","8,1816","6,7024","7,2967","7,9376","6,7771","10,2045","7,9691","8,2476","7,6684"
,2020,"7,5298","7,9265","5,8017","7,4482","9,5370","7,4401","4,6935","5,4324","7,6531","7,8457","7,5180","7,7510","4,0706","6,4772","7,4357","8,6943","10,2324","7,4244","7,7409","7,1930"
,2021,"7,4998","9,3888","6,2192","6,5096","8,8205","9,9677","5,7971","5,7638","7,6134","8,2657","8,8801","8,0538","9,6552","6,8473","7,5007","7,2735","10,2246","7,4278","7,7487","7,1200"
,2022,"6,7480","7,7546","3,6036","6,3013","8,5883","6,2943","7,4541","5,3108","7,3496","7,8657","9,8334","6,3675","4,0000","6,3064","7,0683","7,9211","8,8856","7,0731","7,4077","6,9352"
,2023,"6,1822","8,2592","5,5458","6,1081","7,2857","7,6726","8,8724","4,8015","7,2103","7,0890","8,1934","6,9201","5,2151","5,6081","6,8093","6,6607","7,8728","6,7127","7,1654","6,6772"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN ANUAL CENSO INE,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Censo anual, Instituto Nacional de Estadística",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,41.833,26.053,3.853,70.419,27.443,3.738,3.438,81.987,578.063,86.556,9.607,49.917,724,67.877,1.051.508,13.321,23.509,1.696.955,8.484.804,47.400.798
,2022,42.661,26.287,3.884,73.549,27.666,3.824,3.482,82.720,578.473,88.313,9.699,50.493,749,68.853,1.060.653,13.369,24.289,1.715.109,8.511.167,47.486.727
,2023,43.855,26.902,3.986,76.318,28.325,3.915,3.498,85.136,587.068,90.763,9.923,51.315,767,70.345,1.082.116,13.512,25.010,1.752.728,8.584.147,48.085.361
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hombres,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,20.786,13.018,2.004,34.522,13.886,1.958,1.770,40.079,277.575,43.021,4.815,24.419,368,34.285,512.506,6.751,11.785,831.211,4.182.620,23.248.611
,2022,21.205,13.131,2.026,36.092,14.003,1.979,1.798,40.285,277.823,43.880,4.858,24.693,380,34.784,516.937,6.751,12.197,840.038,4.196.620,23.288.747
,2023,21.763,13.421,2.077,37.350,14.306,2.043,1.799,41.342,281.718,44.927,4.972,25.062,389,35.481,526.650,6.808,12.573,857.246,4.229.831,23.565.593
,,,,,,,,,,,,,,,,,,,,,
Mujeres,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,21.047,13.035,1.849,35.897,13.557,1.780,1.668,41.908,300.488,43.535,4.792,25.498,356,33.592,539.002,6.570,11.724,865.744,4.302.184,24.152.187
,2022,21.456,13.156,1.858,37.457,13.663,1.845,1.684,42.435,300.650,44.433,4.841,25.800,369,34.069,543.716,6.618,12.092,875.071,4.314.547,24.197.980
,2023,22.092,13.481,1.909,38.968,14.019,1.872,1.699,43.794,305.350,45.836,4.951,26.253,378,34.864,555.466,6.704,12.437,895.482,4.354.316,24.519.768
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Española,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,38.432,20.122,3.528,53.163,25.595,3.390,3.004,52.032,528.230,59.419,8.920,46.276,686,54.731,897.528,11.742,19.071,1.424.384,7.771.404,41.998.096
,2022,39.119,20.281,3.547,54.245,25.826,3.478,2.987,52.036,527.566,60.763,8.991,46.989,711,55.373,901.912,11.758,19.459,1.432.096,7.770.450,41.977.681
,2023,39.954,20.586,3.607,54.779,26.344,3.501,2.975,52.333,527.260,61.693,9.153,47.350,729,55.540,905.804,11.806,19.757,1.438.368,7.770.423,41.995.741
,,,,,,,,,,,,,,,,,,,,,
Extranjera,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,3.401,5.931,325,17.256,1.848,348,434,29.955,49.833,27.137,687,3.641,38,13.146,153.980,1.579,4.438,272.571,713.400,5.402.702
,2022,3.542,6.006,337,19.304,1.840,346,495,30.684,50.907,27.550,708,3.504,38,13.480,158.741,1.611,4.830,283.013,740.717,5.509.046
,2023,3.901,6.316,379,21.539,1.981,414,523,32.803,59.808,29.070,770,3.965,38,14.805,176.312,1.706,5.253,314.360,813.724,6.089.620
,,,,,,,,,,,,,,,,,,,,,
Menos 16 años,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,8.291,4.838,524,11.654,5.856,577,509,10.998,91.371,15.927,1.699,9.528,113,10.563,172.448,1.899,4.520,274.962,1.383.023,7.209.005
,2022,8.240,4.803,517,11.961,5.772,571,502,10.889,89.464,15.942,1.691,9.423,121,10.508,170.404,1.892,4.582,272.108,1.360.186,7.095.180
,2023,8.284,4.834,526,12.061,5.713,586,511,11.266,88.749,16.191,1.691,9.236,116,10.547,170.311,1.914,4.642,272.612,1.341.643,7.054.555
,,,,,,,,,,,,,,,,,,,,,
De 16 a 64 años,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,28.061,17.009,2.550,47.422,18.374,2.457,2.244,51.939,381.253,58.343,6.442,33.585,507,45.092,695.278,8.807,15.382,1.120.041,5.606.143,30.880.309
,2022,28.669,17.188,2.599,49.532,18.598,2.518,2.261,52.118,381.670,59.593,6.506,33.984,515,45.771,701.522,8.827,15.930,1.131.495,5.623.793,30.909.745
,2023,29.504,17.647,2.661,51.581,19.221,2.588,2.284,53.554,388.252,61.192,6.670,34.644,529,46.937,717.264,8.908,16.438,1.158.537,5.674.464,31.343.030
,,,,,,,,,,,,,,,,,,,,,
65 o más años,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,5.481,4.206,779,11.343,3.213,704,685,19.050,105.439,12.286,1.466,6.804,104,12.222,183.782,2.615,3.607,301.952,1.495.638,9.311.484
,2022,5.752,4.296,768,12.056,3.296,735,719,19.713,107.339,12.778,1.502,7.086,113,12.574,188.727,2.650,3.777,311.506,1.527.188,9.481.802
,2023,6.067,4.421,799,12.676,3.391,741,703,20.316,110.067,13.380,1.562,7.435,122,12.861,194.541,2.690,3.930,321.579,1.568.040,9.687.776
,,,,,,,,,,,,,,,,,,,,,
Índice de envejecimiento,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,"0,66","0,87","1,49","0,97","0,55","1,22","1,35","1,73","1,15","0,77","0,86","0,71","0,92","1,16","1,07","1,38","0,80","1,10","1,08","1,29"
,2022,"0,70","0,89","1,49","1,01","0,57","1,29","1,43","1,81","1,20","0,80","0,89","0,75","0,93","1,20","1,11","1,40","0,82","1,14","1,12","1,34"
,2023,"0,73","0,91","1,52","1,05","0,59","1,26","1,38","1,80","1,24","0,83","0,92","0,81","1,05","1,22","1,14","1,41","0,85","1,18","1,17","1,37"
,,,,,,,,,,,,,,,,,,,,,
Índice de dependencia,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2021,"49,08","53,17","51,10","48,49","49,36","52,14","53,21","57,85","51,62","48,36","49,13","48,63","42,80","50,53","51,24","51,25","52,83","51,51","51,35","53,50"
,2022,"48,81","52,94","49,44","48,49","48,76","51,87","54,00","58,72","51,56","48,19","49,08","48,58","45,44","50,43","51,19","51,46","52,47","51,58","51,34","53,63"
,2023,"48,64","52,45","49,79","47,96","47,36","51,28","53,15","58,97","51,21","48,32","48,77","48,12","44,99","49,87","50,87","51,68","52,15","51,29","51,28","53,42"