Municipio / Zona,Rango / Códigos Postales,Grupo
Málaga,"29001 - 29018
",malaga
Alhaurín de la Torre,29130,alhaurindelatorre
Alhaurín el Grande,29120,alhaurinelgrande
Almogía,29150,almogia
Álora,29500,alora
Benalmádena,29630 - 29639,benalmadena
Cártama,29570 - 29580,cartama
Casabermeja,29160,casabermeja
Coín,29100,coin
Colmenar,29170,colmenar
Fuengirola,29640,fuengirola
Mijas,29649 - 29651,mijas
Pizarra,29560,pizarra
Rincón de la Victoria,29730 - 29739,rincondelavictoria
Torremolinos,29620,torremolinos
Totalán,29197,totalan